RMDDR,mus-D,4,462774,9873,N930NR0763,763,9757,7473,NR in plane
IL1DL,"RMDVL,RIPL",1,473417,10313,N930NR0763,763,9590,7560,NR in plane
RIAR,RMDDL,1,341455,6761,N930NR0763,763,14895,9234,NR 45 deg
NRDLfrag,SMDDR,3,333866,6516,N930NR0764,764,8770,6361,NR in plane
RIAR,RMDVR,2,343720,6895,N930NR0764,764,13329,7609,NR in plane
OLQVR,IL2R,2,270478,4988,N930NR0764,764,14752,12652,NR 45 deg
[CEPDR],"AVEL,[RIBR]",2,399337,8273,N930NR0764,764,16051,10835,NR 45 deg
[RIBL],mus-D,5,333848,6508,N930NR0764,764,10813,6740,NR in plane
RIAL,RMDDR,1,403004,8467,N930NR0764,764,8519,8605,NR 45 deg
NRL,SMDDR,3,270222,4984,N930NR0764,764,8886,6860,NR in plane
RIAR,"RMDDL,RMDVR",1,343719,6892,N930NR0764,764,13459,7750,NR in plane
RIAL,RMDDR,3,270689,5001,N930NR0764,764,9640,6860,NR in plane
CEMDR,"URYDR,CEPDR",3,202304,4810,N930NR0764,764,14104,6274,NR in plane
OLLL,SMDDR,2,333778,9872,N930NR0765,765,9350,6494,NR in plane
IL2R,"URBR,IL1VR",1,270529,4992,N930NR0765,765,15493,12136,NR 45 deg
IL1DR,RIPR,1,465045,9939,N930NR0765,765,13735,8378,NR 45 deg
OLQVR,IL2R,1,270477,4987,N930NR0765,765,14719,12319,NR 45 deg
SMDDR,"[RIBL],mus-D",5,333748,6507,N930NR0765,765,10704,6824,NR in plane
URADL,"mus-DL,RIPL",4,473407,10311,N930NR0765,765,9221,8599,NR 45 deg
RIAL,"RIAL,RMDDR,RMDVL",2,402937,8468,N930NR0765,765,8280,9296,NR 45 deg
IL2R,"OLQDR,RIH",6,270612,4999,N930NR0765,765,15023,11384,NR 45 deg
RIAL,RMDDR,1,270687,5000,N930NR0765,765,9803,6767,NR in plane
URADL,"RIPL,mus-DL",5,473404,10310,N930NR0765,765,9585,7841,NR in plane
RMER,mus-L,2,463122,9880,N930NR0765,765,8760,10875,NR 45 deg
RIH,"OLQVR,URAVR",1,357387,7236,N930NR0765,765,14997,12992,NR 45 deg
IL1DL,"RIPL,RMDVL",6,473403,10312,N930NR0766,766,9021,8483,NR 45 deg
[SMDVL],"mus-D,RMEV",2,338643,6646,N930NR0766,766,11216,6699,NR in plane
IL2R,"RIH,OLQDR",4,284363,5217,N930NR0766,766,14847,11857,NR 45 deg
RIAL,RMDDR,1,402986,8466,N930NR0766,766,9419,7324,NR in plane
IL1DL,"RMDVL,mus-DL,RIPL",3,473401,10309,N930NR0766,766,9596,7630,NR in plane
RMEV,mus-D,3,333754,6479,N930NR0767,767,10897,6719,NR in plane
RIAR,"RMDDL,RMDVR",4,343726,6891,N930NR0767,767,12227,6950,NR in plane
RIAL,"RIAR,RMDR",4,343651,6881,N930NR0767,767,14880,9099,NR 45 deg
