igcm-4,71,69,70,67,71,70,70,71,70,69,71,70,71,72,69,70,70,71,71,69,71,70,70,71,69,70,70,68,67,69,70,69,67,71,69,70,69,72,69,69,69,70,67,70,70,70,69,70,69,70,70,69,71,69,69,70,69,70,71,71,70,68,69,71,69,69,71,72,70,69,71,72,69,68,71,70,71,71,69,71,69,70,71,72,69,70,70,70,72,68,69,69,68,70,72,69,70,71,70,67
igdb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igdb-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igdb-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igeg-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
igeg-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iglr-1,57,55,56,55,55,56,55,56,55,55,57,56,56,56,55,55,56,56,56,55,54,54,57,59,56,57,56,56,56,55,58,56,55,55,57,54,56,55,54,55,54,56,56,58,56,54,55,58,54,56,55,57,55,54,55,58,54,56,56,56,56,56,55,55,56,55,54,55,55,56,54,55,54,55,55,56,55,54,56,56,55,57,54,55,56,55,54,54,55,57,54,56,54,54,54,54,55,55,56,55
iglr-2,70,68,70,69,71,70,69,70,71,67,71,69,71,70,69,70,70,69,70,69,70,69,69,68,71,70,69,70,69,68,71,71,70,69,72,70,71,72,71,69,69,71,70,69,73,69,68,70,72,68,71,72,69,73,68,72,69,72,69,70,70,70,69,69,68,71,72,73,71,71,70,69,69,74,70,69,69,69,69,70,72,70,70,71,70,69,71,69,71,68,69,70,69,69,68,70,72,68,69,68
iglr-3,45,45,46,44,48,47,46,45,47,46,47,45,46,45,48,47,45,46,49,46,45,45,46,46,48,45,47,46,46,45,44,45,45,47,46,45,46,46,45,45,45,45,45,46,46,47,46,46,44,45,47,44,46,45,48,48,46,45,45,46,45,46,47,46,47,44,45,45,45,45,47,46,45,46,46,47,48,44,47,45,46,46,46,46,48,46,46,44,47,47,46,46,47,43,48,47,47,46,46,46
itx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lad-2,65,70,67,66,66,66,65,66,66,66,68,65,66,66,67,66,67,67,67,67,66,67,69,64,67,66,66,70,67,68,65,65,66,66,66,66,67,66,67,65,66,66,68,66,65,66,65,65,66,67,66,67,65,67,65,65,66,65,65,67,65,67,68,66,66,65,66,66,65,65,66,68,64,65,65,64,66,66,67,68,65,65,66,66,68,66,65,65,66,65,64,69,64,67,66,68,66,66,68,67
lat-1,70,69,69,70,71,69,69,68,68,69,69,67,69,67,68,72,69,69,67,71,70,68,71,69,69,70,69,70,70,71,71,70,69,70,68,68,68,71,70,71,73,70,70,70,70,71,72,71,70,69,70,69,68,70,70,70,69,67,71,69,70,69,71,68,70,72,70,70,70,70,70,72,69,69,70,71,70,72,70,69,71,69,71,68,68,71,67,69,68,69,71,71,67,70,69,69,68,69,74,69
lat-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let-4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3
lron-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lron-10,39,37,41,37,39,38,40,41,39,39,38,39,39,40,39,40,41,38,39,38,41,40,36,40,41,37,39,42,40,38,39,40,39,39,38,39,38,40,38,37,39,40,38,38,38,38,38,37,39,39,40,38,38,38,39,39,38,38,38,37,38,38,38,41,38,39,41,39,38,38,39,41,38,38,41,38,37,38,38,38,39,41,37,41,38,40,37,40,37,37,40,39,39,39,38,42,38,40,37,41
lron-11,65,65,64,66,65,64,66,64,66,65,64,63,64,63,64,63,63,65,66,65,64,63,67,65,67,65,65,65,66,66,64,63,64,66,66,66,64,66,66,63,66,65,63,68,64,66,66,64,65,64,67,65,65,63,65,64,67,64,63,65,64,64,65,66,64,67,65,64,66,64,65,63,64,64,64,63,66,66,65,64,64,64,66,66,64,64,64,65,64,64,65,66,66,67,63,65,65,64,67,64
