EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
JSE	2409		PVCL	LUAL	electrical	1	1	PVCL			
JSE	2410		PVNL	LUAL	electrical	1	1	LUAL			
JSE	2411		hyp	PDA	electrical	1	1	hyp			
JSE	2412		PDA	DVA	electrical	1	1	PDA			
JSE	2413		PVR.	PHAR.	electrical	1	1	PHAR			
JSE	2414		PHAR.	PDA	electrical	1	1	PHAR			
JSE	2415		PVQR	PDA	electrical	1	1	PDA			
JSE	2416		hyp	PVWL	electrical	1	1	hyp			
JSE	2417		PVNL	AVJR	electrical	1	1	AVJR			
JSE	2418		PVR.	PDB	electrical	1	1	PDB			
JSE	2419		PVR.	PVCR	electrical	1	1	PVCR			
JSE	2420		PVWR	PVNR	electrical	1	1	PVNR			
JSE	2421		PVNR	LUAR	electrical	1	1	PVNR			
JSE	2422		PVWR	PVCR	electrical	1	1	PVWR			
JSE	2423		hyp	PVCR	electrical	1	1	hyp			
JSE	2424		PVCR	DA09	electrical	1	1	DA09			
JSE	2425		PVR.	PVCR	electrical	1	1	PVCR			
JSE	2427		PVWR	PVR	electrical	1	1	PVWR			
JSE	2428		PVR.	DA09	electrical	1	1	PVR			
JSE	2429		PVR.	PDB	electrical	1	1	PVR			
JSE	2430		PVR.	DA09	electrical	1	1	PVR			
JSE	2431		PVR.	PDB	electrical	1	1	PVR			
JSE	2432		PVR.	PDB	electrical	1	1	PVR			
JSE	2433		PVR.	DA09	electrical	1	1	PVR			
JSE	2434		PVR.	PDB	electrical	1	1	PVR			
JSE	2435		PVR.	PDB	electrical	1	1	PVR			
JSE	2436		obj	obj	electrical	1	1	obj			
JSE	2437		PDB	PDA	electrical	1	1	PDB			
JSE	2438		PDA	AVL	electrical	1	1	PDA			
JSE	2439		PDA	AVL	electrical	1	1	PDA			
JSE	2440		PDB	PDA	electrical	1	1	PDB			
JSE	2441		PVQL	PHBL	electrical	1	1	PVQL			
JSE	2442		PVQL	PHBL	electrical	1	1	PHBL			
JSE	2443		PVQL	DA08	electrical	1	1	PVQL			
JSE	2444		DVC	AVG	electrical	1	1	DVC			
JSE	2445		DVC	AVG	electrical	1	1	DVC			
JSE	2448		PVCL	PLML	electrical	1	1	PLML			
