contin Number	EM series	Location	pre	post   	type    	sections   	partner Number	post1     	post2   	post3 	post4   
6651	N930	NR in plane	[RIMR]	SMDDR,NRLfrag	chemical	9	2	SMDDR	NRLfrag		
6527	N930	NR 45 deg	OLLR	OLLL	electrical	9	1	OLLL			
6306	N930	Not NR	AIYR	AIZR,RIAR	chemical	9	2	AIZR	RIAR		
6178	N930	Not NR	[AIZL]	AIZR	electrical	9	1	AIZR			
5884	N930	NR in plane	[AIAR]	[AIAL]	electrical	9	1	[AIAL]			
5872	N930	NR 45 deg	OLQVR	NRR	electrical	9	1	NRR			
5856	N930	NR in plane	[RIMR]	AVER	electrical	9	1	AVER			
5767	N930	Not NR	[AVBR]	[AVBL]	electrical	9	1	[AVBL]			
5758	N930	NR 45 deg	VBR-3	CEPVR	electrical	9	1	CEPVR			
5730	N2Y		PCCR	gonad	chemical	9	1	gonad			
5661	N930	NR 45 deg	OLLR	[RIBR]	chemical	9	1	[RIBR]			
5340	N930	NR 45 deg	OLQVR	SIBDR,RMDVL,NR54	chemical	9	3	SIBDR	RMDVL	NR54	
5031	N930	NR 45 deg	RMGR	[RIBR],RMDVR	chemical	9	2	[RIBR]	RMDVR		
4692	N930	NR 45 deg	[SMDVL]	SMDDR,mus-V	chemical	9	2	SMDDR	mus-V		
4679	N930	Not NR	[AFDL]	[AIYL]	chemical	9	1	[AIYL]			
4678	N930	Not NR	[ASGL]	AIAL	chemical	9	1	AIAL			
4636	N930	Not NR	[RIML]	[AVBL],[AVBR]	chemical	9	2	[AVBL]	[AVBR]		
4628	N930	Not NR	[ASHR]	[AIAR]	chemical	9	1	[AIAR]			
4579	N930	Not NR	[ASGL]	VC16	chemical	9	1	VC16			
4576	N2Y		R9AR	PHCR,R8AR,PCAR	chemical	9	3	PHCR	R8AR	PCAR	
4487	N930	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	9	2	RMDDR	RMDVL		
4480	N930	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	9	2	RMDDR	RMDVL		
