RMDVL,HMNp,53,20,208
RMDVR,HMNp,37,-1,-1
RMDVR,HMNp,1300,14,214
RMED,HMNa,9712,3,1441
RMED,HMNa,9713,-1,-1
RMEL,HMNa,1269,10,91
RMEL,HMNa,1295,-1,-1
RMEL,HMNa,1302,-1,-1
RMER,HMNa,1264,9,108
RMER,HMNa,1268,-1,-1
RMEV,HMNa,96,12,1738
RMFL,I2,110,-1,-1
RMFL,I2,339,43,271
RMFL,I2,3956,-1,-1
RMFR,I2,107,45,290
RMFR,I2,129,104,104
RMGL,I1,6,60,532
RMGL,I1,329,-1,-1
RMGR,I1,155,46,488
RMHL,HMNp,23,34,280
RMHR,HMNp,1261,54,268
SAADL,I2,39,42,493
SAADL,I2,1286,-1,-1
SAADL,I2,1298,50,50
SAADR,I2,106,47,512
SAADR,I2,1235,-1,-1
SAAVL,I2,320,53,265
SAAVR,I2,84,-1,-1
SAAVR,I2,258,62,314
SAAVR,I2,9579,52,281
SABD,SMN,5771,-1,-1
SABD,SMN,6328,252,651
SABD,SMN,8954,-1,-1
SABD,SMN,9001,-1,-1
SDQL,Sp1,141,-1,-1
SDQL,Sp1,2,-1,-1
SDQL,Sp1,222,120,213
SDQR,Sp1,25,105,219
SDQR,Sp1,104,-1,-1
SDQR,Sp1,257,-1,-1
SIADL,SMN,255,38,316
SIADR,SMN,163,39,333
SIADR,SMN,229,-1,-1
SIAVL,SMN,36,-1,-1
SIAVL,SMN,116,93,316
SIAVR,SMN,54,76,334
SIBDL,SMN,114,-1,-1
SIBDL,SMN,5741,-1,-1
SIBDL,SMN,9741,-1,-1
SIBDL,SMN,9744,59,264
SIBDR,SMN,166,-1,-1
SIBDR,SMN,5729,-1,-1
SIBDR,SMN,9742,64,263
SIBDR,SMN,9743,-1,-1
SIBVL,SMN,59,66,70
SIBVL,SMN,253,-1,-1
SIBVL,SMN,9738,-1,-1
SIBVL,SMN,9740,47,315
SIBVL,SMN,9745,-1,-1
SIBVL,SMN,9812,-1,-1
SIBVR,SMN,164,-1,-1
SIBVR,SMN,228,-1,-1
SIBVR,SMN,9735,-1,-1
SIBVR,SMN,9737,-1,-1
SIBVR,SMN,9739,44,298
SIBVR,SMN,9746,-1,-1
SMBDL,SMN,102,41,296
SMBDL,SMN,256,-1,-1
SMBDL,SMN,5748,-1,-1
SMBDR,SMN,161,-1,-1
SMBDR,SMN,224,40,334
SMBVL,SMN,321,100,312
SMBVL,SMN,1252,-1,-1
SMBVR,SMN,51,79,317
SMBVR,SMN,137,-1,-1
SMBVR,SMN,162,136,136
SMBVR,SMN,1019,-1,-1
SMBVR,SMN,5752,-1,-1
SMDDL,SMN,40,23,279
SMDDL,SMN,254,-1,-1
SMDDR,SMN,215,2,183
SMDDR,SMN,50,29,298
SMDDR,SMN,1240,40,44
SMDVL,SMN,109,17,304
SMDVL,SMN,291,40,40
SMDVL,SMN,1311,-1,-1
SMDVR,SMN,38,-1,-1
SMDVR,SMN,10482,23,304
URADL,HMNa,1272,2,98
URADR,HMNa,1308,2,89
URAVL,HMNa,1257,-1,-1
URAVL,HMNa,1262,2,125
URAVL,HMNa,2123,-1,-1
URAVR,HMNa,1283,2,117
URAVR,HMNa,1313,-1,-1
URBL,I2,1241,2,124
URBR,I2,1288,2,112
URBR,I2,1293,-1,-1
URXL,Sa,201,2,183
URXR,Sa,199,-1,-1
URXR,Sa,1146,2,175
URYDL,Sa,1015,-1,-1
URYDL,Sa,1273,2,96
URYDR,Sa,1309,2,88
URYVL,Sa,1248,2,136
URYVL,Sa,1316,-1,-1
URYVR,Sa,326,2,127
VA02,VMN,284,2,1214
VB01,VMN,111,84,1900
VB01,VMN,9888,-1,-1
VB02,VMN,286,2,2218
VB02,VMN,7231,-1,-1
VC01,XMN,5755,-1,-1
VC01,XMN,7056,269,2350
VD01,VMN,7977,230,454
VD01,VMN,5772,293,730
VD01,VMN,6317,-1,-1
dBWML,BWM,354,-1,-1
dBWML,BWM,357,-1,-1
dBWML,BWM,1027,2,135
dBWML,BWM,2100,-1,-1
dBWML,BWM,2479,-1,-1
dBWML,BWM,2480,-1,-1
dBWML,BWM,2481,38,40
dBWML,BWM,2522,-1,-1
dBWML,BWM,2523,-1,-1
dBWML,BWM,2524,-1,-1
dBWML,BWM,2700,-1,-1
dBWML,BWM,2701,-1,-1
dBWML,BWM,2742,-1,-1
dBWML,BWM,2743,-1,-1
dBWML,BWM,2903,-1,-1
dBWML,BWM,2904,-1,-1
dBWML,BWM,4013,2,100
dBWML,BWM,4338,-1,-1
dBWML,BWM,4783,2,182
dBWML,BWM,5464,27,49
dBWML,BWM,5465,-1,-1
dBWML,BWM,9076,2,182
dBWML,BWM,9077,2,182
dBWML,BWM,9083,67,182
dBWML,BWM,9087,2,122
dBWML,BWM,3811,-1,-1
dBWML,BWM,8278,917,920
dBWML,BWM,8267,993,998
dBWML,BWM,8268,982,983
dBWML,BWM,8282,1007,1008
dBWML,BWM,8283,1004,1005
dBWML,BWM,8420,1032,1033
dBWML,BWM,8421,1040,1041
dBWML,BWM,8425,1063,1069
dBWML,BWM,8426,1060,1061
dBWML,BWM,8430,1102,1103
dBWML,BWM,8433,1118,1119
dBWML,BWM,8434,1129,1132
dBWML,BWM,8437,1152,1153
dBWML,BWM,8438,1159,1162
dBWML,BWM,8441,1174,1176
dBWML,BWM,8442,1194,1195
dBWML,BWM,8507,1203,1205
dBWML,BWM,8508,1221,1222
dBWML,BWM,8513,1209,1210
dBWML,BWM,8503,1227,1228
dBWML,BWM,8504,1251,1252
dBWML,BWM,8510,1283,1285
dBWML,BWM,8515,1256,1257
dBWML,BWM,8518,1261,1262
dBWML,BWM,8520,1306,1307
dBWML,BWM,8523,1352,1353
dBWML,BWM,8524,1356,1357
dBWML,BWM,8527,1319,1321
dBWML,BWM,8528,1349,1350
dBWML,BWM,8532,1314,1317
dBWML,BWM,8533,1326,1327
dBWML,BWM,8536,1388,1389
dBWML,BWM,8537,1394,1395
dBWML,BWM,8541,1403,1404
dBWML,BWM,8542,1431,1432
dBWML,BWM,8552,1458,1463
dBWML,BWM,8553,1454,1455
dBWML,BWM,8555,1436,1440
dBWML,BWM,8556,1426,1428
dBWML,BWM,8546,1485,1489
dBWML,BWM,8548,1494,1495
dBWML,BWM,8551,1471,1474
dBWML,BWM,8559,1587,1588
dBWML,BWM,8564,1559,1560
dBWML,BWM,8568,1528,1529
dBWML,BWM,8569,1543,1545
dBWML,BWM,8572,1562,1567
dBWML,BWM,8573,1573,1574
dBWML,BWM,8576,1641,1642
dBWML,BWM,8577,1650,1651
dBWML,BWM,8580,1625,1627
dBWML,BWM,8581,1667,1668
dBWML,BWM,8588,1645,1646
dBWML,BWM,8589,1634,1635
dBWML,BWM,8590,1630,1631
dBWML,BWM,8592,1756,1758
dBWML,BWM,8594,1715,1717
dBWML,BWM,8597,1751,1752
dBWML,BWM,8598,1763,1767
dBWML,BWM,8601,1721,1722
dBWML,BWM,8602,1744,1745
dBWML,BWM,8606,1726,1728
dBWML,BWM,8607,1770,1771
dBWML,BWM,8610,1808,1809
dBWML,BWM,8614,1840,1841
dBWML,BWM,8615,1858,1860
dBWML,BWM,8618,1895,1898
dBWML,BWM,8619,1801,1802
dBWML,BWM,8622,1871,1872
dBWML,BWM,8624,1936,1937
dBWML,BWM,8627,1952,1953
dBWML,BWM,8628,1906,1907
dBWML,BWM,8631,1948,1949
dBWML,BWM,9119,1997,1998
dBWML,BWM,9122,1970,1971
dBWML,BWM,9123,1974,1975
dBWML,BWM,9126,2003,2004
dBWML,BWM,9127,2006,2008
dBWML,BWM,6362,-1,-1
dBWML,BWM,6363,-1,-1
dBWML,BWM,7969,239,240
dBWML,BWM,7970,277,278
dBWML,BWM,7975,248,249
dBWML,BWM,7976,282,283
dBWML,BWM,7980,265,267
dBWML,BWM,7984,245,246
dBWML,BWM,7987,303,304
dBWML,BWM,7988,321,322
dBWML,BWM,7991,357,359
dBWML,BWM,7992,367,369
dBWML,BWM,7995,342,343
dBWML,BWM,7996,349,352
dBWML,BWM,7997,385,387
dBWML,BWM,7999,398,399
dBWML,BWM,8004,393,395
dBWML,BWM,8189,466,469
dBWML,BWM,8191,419,422
dBWML,BWM,8194,448,449
dBWML,BWM,8195,452,454
dBWML,BWM,8196,461,462
dBWML,BWM,8197,475,480
dBWML,BWM,8204,513,514
dBWML,BWM,8234,510,512
dBWML,BWM,8242,516,517
dBWML,BWM,8220,682,683
dBWML,BWM,8223,620,622
dBWML,BWM,8225,596,602
dBWML,BWM,8228,632,634
dBWML,BWM,8229,670,671
dBWML,BWM,8233,553,555
dBWML,BWM,8237,563,566
dBWML,BWM,8241,542,544
dBWML,BWM,8246,722,723
dBWML,BWM,8247,743,744
dBWML,BWM,8250,751,752
dBWML,BWM,8249,766,772
dBWML,BWM,8253,818,824
dBWML,BWM,8256,843,844
dBWML,BWM,8257,839,840
dBWML,BWM,8260,879,883
dBWML,BWM,8261,887,888
dBWML,BWM,8269,971,975
dBWML,BWM,8270,963,966
dBWML,BWM,8275,939,940
dBWML,BWM,8276,931,932
dBWML,BWM,9566,2,134
dBWML,BWM,9719,-1,-1
dBWML,BWM,9720,-1,-1
dBWML,BWM,9721,-1,-1
dBWML,BWM,9722,-1,-1
dBWML,BWM,9723,-1,-1
dBWML,BWM,9724,-1,-1
dBWML,BWM,9725,-1,-1
dBWML,BWM,9726,-1,-1
dBWML,BWM,9727,-1,-1
dBWML,BWM,9728,-1,-1
dBWML,BWM,9729,-1,-1
dBWML,BWM,9730,-1,-1
dBWML,BWM,9731,-1,-1
dBWML,BWM,9732,-1,-1
dBWML,BWM,9733,-1,-1
dBWML,BWM,10166,758,759
dBWML,BWM,10171,1374,1375
vBWML,BWM,359,2,169
vBWML,BWM,360,-1,-1
vBWML,BWM,363,2,181
vBWML,BWM,924,-1,-1
vBWML,BWM,965,99,181
vBWML,BWM,966,-1,-1
vBWML,BWM,968,-1,-1
vBWML,BWM,1010,-1,-1
vBWML,BWM,1011,-1,-1
vBWML,BWM,1013,-1,-1
vBWML,BWM,1014,-1,-1
vBWML,BWM,1020,-1,-1
vBWML,BWM,1021,-1,-1
vBWML,BWM,1022,2,182
vBWML,BWM,1023,-1,-1
vBWML,BWM,1024,-1,-1
vBWML,BWM,1025,-1,-1
vBWML,BWM,1026,-1,-1
vBWML,BWM,1028,47,70
vBWML,BWM,1029,-1,-1
vBWML,BWM,1297,124,149
vBWML,BWM,1303,-1,-1
vBWML,BWM,2032,-1,-1
vBWML,BWM,2033,-1,-1
vBWML,BWM,2034,-1,-1
vBWML,BWM,2124,2,182
vBWML,BWM,2125,2,182
vBWML,BWM,2126,2,164
vBWML,BWM,5061,-1,-1
vBWML,BWM,5433,-1,-1
vBWML,BWM,6655,867,868
vBWML,BWM,6709,843,845
vBWML,BWM,6710,849,850
vBWML,BWM,6736,860,861
vBWML,BWM,6737,870,876
vBWML,BWM,6740,961,967
vBWML,BWM,6741,971,972
vBWML,BWM,6742,994,995
vBWML,BWM,6744,980,981
vBWML,BWM,6745,972,973
vBWML,BWM,6747,992,993
vBWML,BWM,6752,954,957
vBWML,BWM,6753,906,907
vBWML,BWM,6757,988,989
vBWML,BWM,6762,1038,1039
vBWML,BWM,6763,1063,1064
vBWML,BWM,6767,1060,1061
vBWML,BWM,6768,1013,1014
vBWML,BWM,6770,1093,1094
vBWML,BWM,6771,1077,1078
vBWML,BWM,6775,1058,1060
vBWML,BWM,6776,1079,1080
vBWML,BWM,7866,1107,1110
vBWML,BWM,7867,1138,1139
vBWML,BWM,7868,1131,1132
vBWML,BWM,7871,1151,1152
vBWML,BWM,7875,1167,1168
vBWML,BWM,7930,1181,1182
vBWML,BWM,7931,1181,1182
vBWML,BWM,7934,1196,1197
vBWML,BWM,7936,1211,1212
vBWML,BWM,7939,1218,1220
vBWML,BWM,7940,1228,1229
vBWML,BWM,7944,1255,1257
vBWML,BWM,7945,1248,1249
